name,photo,nickname
Monica Baggia,team-12.jpg,Baggia
Roberta Berardini,team-37.jpg,Berardini
Vasco Antonio Bergamaschi,team-29.jpg,Bergamaschi
Stefano Bloise,team-23.jpg,Bloise
Andrea Bolner,team-22.jpg,Bolner
Oscar Bottes,team-39.jpg,Bottes
Andrea Brunello,team-28.jpg,Brunello
Giuseppe Cao,team-33.jpg,Cao
Siria Caputo,team-38.jpg,Caputo
Alessandro Ciervo detto Ale Picaro,team-10.jpg,Picaro
Maria Pia Dalla Torre,team-4.jpg,Dalla Torre
Lorenzo Dalrì,team-6.jpg,Dalrì
Felipe De Gasperi,team-25.jpg,De Gasperi
Claudio Dellai,team-1.jpg,Dellai
Chiara De Pol,team-11.jpg,De Pol
Francesca Fiori,team-32.jpg,Fiori
Cristina Frizzera,team-34.jpg,Frizzera
Francesca Furlani,team-35.jpg,Furlani
Ilana Gotz,team-36.jpg,Gotz
Francesco Guadagnini,team-17.jpg,Guadagnini
Rebeh Harkati,team-14.jpg,Harkati
Spartak Malaj,team-26.jpg,Malaj
Paolo Holneider,team-30.jpg,Holneider
Ting Ting Hu,team-18.jpg,Hu
Jenny Koyate detta Jenny,team-24.jpg,Jenny
Olesya Linetska,team-8.jpg,Linetska
Giuliana Luise,team-19.jpg,Luise
Razije Maziami detta Rosi,team-21.jpg,Rosi
Caterina Claudia Midiri,team-16.jpg,Midiri
Maurizio Napolitano,team-40.jpg,Napolitano
Angela Parziani,team-20.jpg,Parziani
Alberto Pattini,team-7.jpg,Pattini
Davide Rossi,team-3.jpg,Rossi
Livia Sassudelli,team-13.jpg,Sassudelli
Ilaria Segato,team-15.jpg,Segato
Xheik Shero,team-31.jpg,Shero
Giuliano Stelzer,team-9.jpg,Stelzer
Jacopo Tomasi,team-27.jpg,Tomasi
Daniele Vettorato,team-2.jpg,Vettorato
Laura Zumiani,team-5.jpg,Zumiani
