title,speakers,where,when,desc,desc,
Festa di apertura della campagna elettorale,,piazza Garzetti - Trento ore 17:00,21 marzo 2025,festa di apertura della campagna elettorale! Sarà un evento imperdibile con il ritmo esuberante dell'ensemble Bandastorta e la presentazione del progetto Stare Bene in Pellicola a cura di Andrea Santoni.,,
Campagna elettorale e preferenze: istruzioni per l'uso.,A cura e con Youtrend,"Largo Carducci 45 - Trento, ore 18:30",24 marzo 2025,Opportunità per i candidati consiglieri di conoscere strategie operative per raccogliere preferenze e consolidare il consenso. Focus su gestione della rete di contatti, comunicazione efficace e coerenza con la campagna elettorale per massimizzare l'impatto. Saranno approfonditi strumenti e tecniche per una comunicazione social mirata e coinvolgente.,
Presentazione programma di coalizione,,Largo Carducci 45 – Trento ore 18:00,26 marzo 2025,,Serata di presentazione del programma elettorale ai candidati a cura di Giuliano Stefen. Sarà un'ultima occasione per approfondire i temi più complessi del programma di coalizione.,
"Apprendere, crescere, partecipare",con Carlo Andorlini e Teresa Pedretti,"Largo Carducci 45 - Trento, ore 18:30",28 marzo 2025,"Presentazione del volume ‘Apprendere, crescere, partecipare. Politiche giovanili territoriali in Italia e il caso dell'Alto Adige cambia!’. A cura di Carlo Andorlini e Teresa Pedretti. L'incontro approfondirà il rapporto tra giovani e la politica e l'importanza di costruire comunità inclusive.", crescere," partecipare. Politiche giovanili territoriali in Italia e il caso dell'Alto Adige cambia!"". A cura di Carlo Andorlini e Teresa Pedretti. L'incontro approfondirà il rapporto tra giovani e la politica e l'importanza di costruire comunità inclusive."
Colorare Trento ci fa stare bene,,Largo Carducci 45,5 aprile 2025 10:00-12:00,Vieni a colorare con noi: laboratorio d’arte per bambini (I colori li portiamo noi),,
Azione Bellezza Cambiamento = ABC della Politica. ," Silvio Maselli, produttore cinematografico e ex amministratore pubblico. ",,9 aprile 2025 ore 20:30,"Azione Bellezza Cambiamento = ABC della Politica. Mercoledì 9 aprile faremo un viaggio nella storia del pensiero politico con riferimenti cinematografici, culturali e letterari sulla scienza umana più bella, la Politica. Ci accompagnerà Silvio Maselli, produttore cinematografico e ex amministratore pubblico. ",,
Incontro Candidati Sindaco,candidate e candidati nel ruolo di sindaco a Trento,"Teatro Gigi Cona, Via Soprasassso 1, Gardolo",10 aprile 2025 ore 20:30,promosso dal circolo ACLI di GARDOLO,,
Amministrare il futuro,,"Ristorante Anfora, Parco Melta di Gardolo",23 aprile  2025 ore 19:30,,,
Incontro Candidati Sindaco,candidate e candidati nel ruolo di sindaco a Trento,"Grand Hotel Trento, Piazza Dante 20",24 aprile 2025 ore 20:45,confronto tra i candidati organizzato dal quotidiano L’ADIGE,,
Conferenza stampa,con l’eurodeputato Giorgio Gori,Largo Carducci 45,25 aprile 2025 ore 16:00,,,
Incontro Candidati Sindaco,candidate e candidati nel ruolo di sindaco a Trento,"Sala della Cooperazione, via Segantini 10",28 aprile 2025 ore 20:00,confronto tra i candidati promosso dal giornale IL T QUOTIDIANO,,
Festa di fine campagna elettorale,,Parco Duca d’Aosta,2 maggio 2025 ore 17:30,,,
